sender,recipients,timestamp,thread_id,email_id_in_thread,num_recipients
285,0,2015-04-07 10:31:00+00:00,150,2,1
441,0,2017-04-27 08:24:00+00:00,278,2,1
362,0,2017-10-24 10:12:00+00:00,222,2,1
35,0,2018-09-04 03:15:00+00:00,196,1,1
142,143,2019-08-15 11:21:00+00:00,76,2,1
314,316,2019-12-19 16:24:00+00:00,193,7,1
314,315,2020-01-16 06:24:00+00:00,193,6,1
314,315,2020-01-17 03:02:00+00:00,193,5,1
314,315,2020-01-23 04:09:00+00:00,193,4,1
4,458,2020-01-23 08:57:00+00:00,302,11,1
458,4,2020-01-23 09:10:00+00:00,302,10,1
4,458,2020-01-23 09:18:00+00:00,302,9,1
458,4,2020-01-23 09:23:00+00:00,302,8,1
4,458,2020-01-23 10:00:00+00:00,302,7,1
458,4,2020-01-23 10:02:00+00:00,302,6,1
4,458,2020-01-23 10:16:00+00:00,302,5,1
458,4,2020-01-23 10:22:00+00:00,302,4,1
1151,0,2020-01-25 09:35:00+00:00,1112,2,1
0,1151,2020-01-26 07:16:00+00:00,1112,1,1
1299,1198,2020-01-26 08:59:00+00:00,1274,4,1
1299,1198,2020-01-26 09:10:00+00:00,1274,3,1
849,0,2020-01-27 04:00:00+00:00,711,5,1
1254,4,2020-01-27 04:25:00+00:00,1226,8,1
314,315,2020-01-28 04:32:00+00:00,193,3,1
314,315,2020-01-28 04:39:00+00:00,193,2,1
1295,1298,2020-01-28 05:53:00+00:00,1272,6,1
21,638,2020-01-28 06:25:00+00:00,1198,6,1
1299,1198,2020-01-28 06:36:00+00:00,1274,2,1
1295,1298,2020-01-28 07:18:00+00:00,1272,5,1
638,21;136,2020-01-29 02:34:00+00:00,1198,4,2
136,21,2020-01-29 05:23:00+00:00,1198,5,1
1279,0,2020-01-30 03:33:00+00:00,1256,1,1
1298,1295,2020-01-30 06:02:00+00:00,1272,4,1
1295,332;1296,2020-01-30 06:16:00+00:00,1272,3,2
1284,0,2020-01-31 01:03:00+00:00,1259,1,1
375,0,2020-01-31 02:00:00+00:00,1102,3,1
375,0,2020-01-31 02:00:00+00:00,1199,2,1
375,0,2020-01-31 02:00:00+00:00,1261,1,1
1280,0,2020-01-31 02:06:00+00:00,1257,1,1
1285,0,2020-01-31 02:09:00+00:00,1260,1,1
1256,0,2020-01-31 02:20:00+00:00,1230,1,1
398,0,2020-01-31 04:54:00+00:00,1262,1,1
1290,0,2020-01-31 05:11:00+00:00,1269,1,1
1271,78,2020-01-31 05:27:00+00:00,1248,4,1
340,4;79;341;344;583,2020-01-31 05:31:46+00:00,1181,7,5
340,4;79;341;344;583,2020-01-31 05:31:46+00:00,1187,7,5
1254,4,2020-01-31 05:33:00+00:00,1226,7,1
1206,4;79;340;341;344;583,2020-01-31 06:34:00+00:00,1181,6,6
1206,4;79;340;341;344;583,2020-01-31 06:34:00+00:00,1187,6,6
583,4;79;340;341;344;1206,2020-01-31 06:36:00+00:00,1181,5,6
583,4;79;340;341;344;1206,2020-01-31 06:36:00+00:00,1187,5,6
1292,0,2020-01-31 06:39:00+00:00,1270,1,1
1278,0,2020-01-31 06:57:00+00:00,1254,2,1
4,0,2020-01-31 07:53:00+00:00,1271,1,1
147,0,2020-01-31 08:51:00+00:00,1236,1,1
79,0,2020-01-31 09:40:00+00:00,1272,2,1
676,0,2020-01-31 10:05:00+00:00,1241,1,1
35,79,2020-01-31 10:05:00+00:00,1272,1,1
1044,0,2020-01-31 10:32:00+00:00,1273,1,1
1255,0,2020-01-31 11:05:00+00:00,1229,1,1
1281,0;228,2020-01-31 12:39:00+00:00,1258,1,2
47,0;1301,2020-02-01 01:13:00+00:00,1276,1,2
396,4,2020-02-01 01:20:00+00:00,1251,6,1
4,396,2020-02-01 01:26:00+00:00,1251,5,1
396,4,2020-02-01 01:28:00+00:00,1251,4,1
1300,0,2020-02-01 01:28:00+00:00,1275,1,1
78,34;1270,2020-02-01 02:11:00+00:00,1248,3,2
1299,0,2020-02-01 02:22:00+00:00,1274,1,1
0,77,2020-02-01 02:46:21+00:00,1288,0,1
0,240,2020-02-01 02:48:59+00:00,1287,0,1
47,0;136,2020-02-01 02:56:00+00:00,1268,1,2
47,136,2020-02-01 04:00:00+00:00,1266,1,1
219,0;34;79;160,2020-02-01 04:12:00+00:00,1267,1,4
1286,0;1287,2020-02-01 05:33:00+00:00,1265,1,2
314,0,2020-02-01 06:20:00+00:00,1264,1,1
917,0,2020-02-01 07:19:00+00:00,1283,1,1
917,0,2020-02-01 07:19:00+00:00,1284,0,1
4,396,2020-02-01 07:54:00+00:00,1251,3,1
4,0;396,2020-02-01 08:42:00+00:00,1251,2,2
35,8,2020-02-01 09:02:00+00:00,1244,1,1
1302,0,2020-02-01 09:15:00+00:00,1277,1,1
1287,0,2020-02-01 10:27:00+00:00,1278,1,1
396,0,2020-02-01 11:09:00+00:00,1251,8,1
292,0,2020-02-01 11:47:00+00:00,1280,1,1
0,292,2020-02-01 12:29:01+00:00,1286,0,1
0,292,2020-02-01 12:29:36+00:00,1285,0,1
206,205,2020-02-01 12:30:00+00:00,123,4,1
4,396,2020-02-01 12:41:00+00:00,1251,7,1
0,82,2020-02-01 12:43:22+00:00,1283,0,1
0,21,2020-02-01 13:19:06+00:00,1282,0,1
0,33,2020-02-01 17:32:40+00:00,1281,0,1
0,292,2020-02-01 17:51:31+00:00,1280,0,1
0,35,2020-02-01 17:54:38+00:00,1279,0,1
0,33,2020-02-01 17:56:42+00:00,1278,0,1
0,1302,2020-02-01 18:23:07+00:00,1277,0,1
0,21,2020-02-01 18:34:43+00:00,1276,0,1
0,33,2020-02-01 18:35:10+00:00,1275,0,1
0,79,2020-02-01 18:39:50+00:00,1274,0,1
0,1044,2020-02-01 18:43:31+00:00,1273,0,1
0,35,2020-02-01 18:45:22+00:00,1272,0,1
0,4,2020-02-01 18:50:25+00:00,1271,0,1
0,33,2020-02-01 18:55:58+00:00,1270,0,1
0,292,2020-02-01 19:02:40+00:00,1269,0,1
0,47,2020-02-01 20:03:12+00:00,1268,0,1
0,82,2020-02-01 22:00:47+00:00,1267,0,1
0,47;136,2020-02-01 22:06:26+00:00,1266,0,2
0,33,2020-02-01 23:19:46+00:00,1265,0,1
0,314,2020-02-01 23:56:07+00:00,1264,0,1
1268,0,2020-02-02 01:32:00+00:00,1247,1,1
1265,0,2020-02-02 02:00:00+00:00,1242,1,1
344,4;79;340;341;583;1206,2020-02-02 02:39:00+00:00,1181,4,6
344,4;79;340;341;583;1206,2020-02-02 02:39:00+00:00,1187,4,6
0,33,2020-02-02 03:28:01+00:00,1263,0,1
0,398,2020-02-02 03:48:52+00:00,1262,0,1
0,4,2020-02-02 04:01:28+00:00,1261,0,1
0,1285,2020-02-02 04:01:50+00:00,1260,0,1
0,1284,2020-02-02 04:08:13+00:00,1259,0,1
0,33,2020-02-02 04:08:48+00:00,1258,0,1
0,79,2020-02-02 04:21:44+00:00,1257,0,1
1266,0,2020-02-02 04:24:00+00:00,1243,1,1
0,33,2020-02-02 04:24:27+00:00,1256,0,1
34,0,2020-02-02 04:36:00+00:00,1245,1,1
47,1047,2020-02-02 04:48:00+00:00,1250,4,1
1243,0,2020-02-02 05:10:00+00:00,1201,2,1
1243,0,2020-02-02 05:10:00+00:00,1228,1,1
136,0;21,2020-02-02 05:58:00+00:00,1255,1,2
34,344,2020-02-02 06:11:00+00:00,1181,3,1
34,344,2020-02-02 06:11:00+00:00,1187,3,1
47,136,2020-02-02 06:53:00+00:00,1250,3,1
47,136,2020-02-02 07:13:00+00:00,1250,2,1
1278,0,2020-02-02 07:35:00+00:00,1254,1,1
1071,0,2020-02-02 07:37:00+00:00,1239,1,1
1263,0,2020-02-02 09:07:00+00:00,1238,1,1
1259,0,2020-02-02 09:33:00+00:00,1232,2,1
1259,0;292,2020-02-02 09:33:00+00:00,1237,1,2
136,0,2020-02-02 10:11:00+00:00,1253,1,1
1277,0,2020-02-02 10:32:00+00:00,1252,1,1
396,4,2020-02-02 10:33:00+00:00,1251,1,1
34,78;1270,2020-02-02 10:35:00+00:00,1248,2,2
0,21;136;674,2020-02-02 11:26:13+00:00,1255,0,3
1258,1259,2020-02-02 11:28:00+00:00,1232,1,1
47,0;136,2020-02-02 11:28:00+00:00,1250,1,2
1269,0,2020-02-02 11:37:00+00:00,1249,1,1
1267,0,2020-02-02 12:34:00+00:00,1246,1,1
0,1278,2020-02-02 12:35:48+00:00,1254,0,1
79,0,2020-02-02 12:53:00+00:00,1248,1,1
0,136,2020-02-02 15:33:34+00:00,1253,0,1
0,1277,2020-02-02 15:44:24+00:00,1252,0,1
0,4;396,2020-02-02 15:45:28+00:00,1251,0,2
0,136,2020-02-02 16:49:35+00:00,1250,0,1
0,1269,2020-02-02 17:13:03+00:00,1249,0,1
0,79,2020-02-02 18:02:22+00:00,1248,0,1
0,1268,2020-02-02 18:33:43+00:00,1247,0,1
0,33,2020-02-02 19:24:26+00:00,1246,0,1
0,34,2020-02-02 22:36:41+00:00,1245,0,1
0,35,2020-02-02 22:40:07+00:00,1244,0,1
0,33,2020-02-02 22:43:15+00:00,1243,0,1
0,33,2020-02-02 22:56:05+00:00,1242,0,1
0,676,2020-02-02 23:20:17+00:00,1241,0,1
0,8,2020-02-02 23:54:27+00:00,1240,0,1
0,1071,2020-02-03 00:50:43+00:00,1239,0,1
136,21;329;581;638,2020-02-03 01:48:00+00:00,1224,4,4
0,33,2020-02-03 02:10:49+00:00,1238,0,1
0,292,2020-02-03 03:45:59+00:00,1237,0,1
0,147,2020-02-03 03:47:33+00:00,1236,0,1
638,21;136;329;581;674,2020-02-03 04:05:00+00:00,1224,3,5
1260,0,2020-02-03 05:37:00+00:00,1233,1,1
638,136;329;581;674,2020-02-03 06:02:00+00:00,1224,2,4
1252,0,2020-02-03 06:33:00+00:00,1223,1,1
0,1245,2020-02-03 07:04:00+00:00,1218,2,1
136,0,2020-02-03 07:26:00+00:00,1224,1,1
1253,0,2020-02-03 07:37:00+00:00,1225,1,1
334,0,2020-02-03 08:18:00+00:00,1100,1,1
4,1254,2020-02-03 08:40:00+00:00,1226,6,1
550,4,2020-02-03 08:43:00+00:00,1217,4,1
1261,0,2020-02-03 09:13:00+00:00,1234,2,1
1261,0,2020-02-03 09:30:00+00:00,1234,1,1
0,4,2020-02-03 10:45:35+00:00,1235,0,1
1257,0,2020-02-03 11:23:00+00:00,1231,1,1
638,21;136;581;674,2020-02-03 11:33:00+00:00,1224,5,4
4,1254,2020-02-03 11:36:00+00:00,1226,5,1
1254,4,2020-02-03 11:43:00+00:00,1226,4,1
1253,0,2020-02-03 11:47:00+00:00,1227,0,1
4,1254,2020-02-03 11:57:00+00:00,1226,3,1
1254,4,2020-02-03 12:20:00+00:00,1226,2,1
204,205,2020-02-03 12:21:00+00:00,123,3,1
4,0,2020-02-03 12:28:00+00:00,1226,1,1
0,1261,2020-02-03 15:10:32+00:00,1234,0,1
0,34,2020-02-03 15:12:39+00:00,1233,0,1
0,292;1258;1259,2020-02-03 15:17:23+00:00,1232,0,3
0,4,2020-02-03 16:43:08+00:00,1231,0,1
0,1256,2020-02-03 22:21:41+00:00,1230,0,1
0,1255,2020-02-03 22:27:31+00:00,1229,0,1
0,79,2020-02-03 22:28:34+00:00,1228,0,1
0,4,2020-02-04 00:37:32+00:00,1226,0,1
0,1253,2020-02-04 01:08:37+00:00,1225,0,1
0,136,2020-02-04 01:14:05+00:00,1224,0,1
211,0,2020-02-04 01:31:00+00:00,1204,2,1
1195,0,2020-02-04 01:36:00+00:00,1214,1,1
47,0,2020-02-04 02:01:00+00:00,1174,5,1
1246,0,2020-02-04 02:42:00+00:00,1206,1,1
0,1252,2020-02-04 03:02:57+00:00,1223,0,1
434,0,2020-02-04 03:35:00+00:00,1193,1,1
434,0,2020-02-04 03:35:00+00:00,1194,1,1
434,0,2020-02-04 03:35:00+00:00,1210,2,1
434,0,2020-02-04 03:35:00+00:00,1213,0,1
1248,0,2020-02-04 03:55:00+00:00,1212,1,1
34,0,2020-02-04 04:11:00+00:00,1201,1,1
80,0,2020-02-04 04:31:00+00:00,1210,1,1
638,21;136;329;581;674,2020-02-04 04:46:00+00:00,1198,3,5
1165,0,2020-02-04 05:15:00+00:00,1126,10,1
1165,0,2020-02-04 05:15:00+00:00,1222,1,1
1244,0,2020-02-04 06:05:00+00:00,1203,1,1
1251,0,2020-02-04 06:06:00+00:00,1219,1,1
47,136,2020-02-04 06:08:00+00:00,1174,4,1
136,47,2020-02-04 06:12:00+00:00,1174,3,1
4,8,2020-02-04 06:35:00+00:00,1217,3,1
0,4;8,2020-02-04 06:42:00+00:00,1217,2,2
877,1249;1250,2020-02-04 07:23:00+00:00,1216,2,2
638,21;136;329;581;674,2020-02-04 08:31:00+00:00,1198,2,5
1245,0,2020-02-04 08:32:00+00:00,1218,1,1
79,0;4,2020-02-04 08:42:00+00:00,1217,1,2
877,0,2020-02-04 09:19:00+00:00,1216,1,1
211,0,2020-02-04 09:37:00+00:00,1204,1,1
1245,0,2020-02-04 10:24:00+00:00,1205,1,1
4,0,2020-02-04 11:21:00+00:00,1199,1,1
0,4,2020-02-04 11:43:36+00:00,1222,0,1
35,0,2020-02-04 12:12:00+00:00,1207,1,1
1242,0,2020-02-04 12:23:00+00:00,1200,1,1
434,0,2020-02-04 12:31:00+00:00,1193,2,1
434,0,2020-02-04 12:31:00+00:00,1194,2,1
434,0,2020-02-04 12:31:00+00:00,1209,0,1
434,0,2020-02-04 12:31:00+00:00,1210,3,1
434,0,2020-02-04 12:31:00+00:00,1213,1,1
0,136,2020-02-04 12:36:50+00:00,1221,0,1
1241,0,2020-02-04 12:48:00+00:00,1197,1,1
0,33,2020-02-04 13:05:59+00:00,1220,0,1
0,4,2020-02-04 13:07:15+00:00,1219,0,1
0,1245,2020-02-04 13:58:53+00:00,1218,0,1
0,4;79,2020-02-04 14:09:40+00:00,1217,0,2
0,35;82,2020-02-04 14:32:42+00:00,1216,0,2
0,77;78;208,2020-02-04 15:03:33+00:00,1215,0,3
0,33,2020-02-04 19:36:10+00:00,1214,0,1
0,4,2020-02-04 21:01:39+00:00,1212,0,1
0,1247,2020-02-04 21:28:48+00:00,1211,0,1
0,80,2020-02-04 22:59:29+00:00,1210,0,1
0,434,2020-02-05 00:05:35+00:00,1208,0,1
0,277,2020-02-05 00:31:31+00:00,1207,0,1
0,4,2020-02-05 00:42:06+00:00,1206,0,1
1192,136;817,2020-02-05 01:16:00+00:00,1165,5,2
1240,0,2020-02-05 02:58:00+00:00,1196,1,1
136,817,2020-02-05 03:11:00+00:00,1165,3,1
1188,0,2020-02-05 03:18:00+00:00,1155,1,1
626,0,2020-02-05 03:19:00+00:00,1170,1,1
1201,4,2020-02-05 03:20:00+00:00,1175,2,1
1239,0,2020-02-05 03:23:00+00:00,1195,1,1
4,8,2020-02-05 03:27:00+00:00,1175,1,1
340,34;344,2020-02-05 03:39:00+00:00,1181,2,2
340,34;344,2020-02-05 03:39:00+00:00,1187,2,2
79,0,2020-02-05 03:43:00+00:00,1181,1,1
79,0,2020-02-05 03:43:00+00:00,1187,1,1
0,1245,2020-02-05 03:48:11+00:00,1205,0,1
0,211,2020-02-05 03:49:07+00:00,1204,0,1
