ns,page,sender,recipients,cardinality,timestamp
1,Talk:Basic English,Hockeycatcat,Gqqnb,1,"15:16, 29 July 2022 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Etamni,Auntof6|Chenzw|Macdonald-ross|Peterdownunder,4,"14:18, 11 January 2016 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Etamni,Macdonald-ross,1,"11:28, 1 March 2016 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Etamni,Macdonald-ross,1,"12:18, 1 March 2016 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Auntof6,PauloMSimoes,1,"04:32, 19 November 2016 (UTC)"
5,Wikipedia talk:Simple talk/Archive,PauloMSimoes,Auntof6,1,"04:54, 19 November 2016 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Only,Breakingchina,1,"16:25, 27 April 2017 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Auntof6,Samuelallen2002,1,"23:13, 28 May 2017 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Koavf,Samuelallen2002,1,"02:08, 29 May 2017 (UTC)"
5,Wikipedia talk:Simple talk/Archive,BRPever,Hujjat ullah,1,"17:13, 6 May 2018 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Koavf,RahimullahZurmati,1,"15:25, 9 July 2018 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Brian R Hunter,LIPUROUT,1,"11:06, 6 December 2019 (UTC)"
5,Wikipedia talk:Simple talk/Archive,Beaneater00,Opelogbon,1,"20:03, 2 February 2020 (UTC)"
4,Wikipedia:Deletion review,Baangla,Eptalon,1,"23:24, 10 May 2026 (UTC)"
4,Wikipedia:Deletion review,Baangla,Ravensfire,1,"06:36, 11 May 2026 (UTC)"
4,Wikipedia:Deletion review,Baangla,Wekeepwhatwekill,1,"01:38, 10 June 2026 (UTC)"
5,Wikipedia talk:Blocks and bans,Fr33kman,Djsasso,1,"15:42, 20 April 2024 (UTC)"
1,Talk:Atom,Alhajiro,Jim.henderson,1,"05:27, 21 February 2022 (UTC)"
1,Talk:Atom,Lights and freedom,PotsdamLamb,1,"20:57, 20 June 2022 (UTC)"
1,Talk:Atom,Lights and freedom,David spector|Ensahequ,2,"19:27, 24 June 2022 (UTC)"
1,Talk:Atom,Lights and freedom/damagetest,Auntof6|Eptalon|Gotanda|Macdonald-ross,4,"22:52, 16 July 2022 (UTC)"
5,Wikipedia talk:Vandalism in progress,Auntof6,Sdytmz4,1,"04:12, 16 April 2018 (UTC)"
5,Wikipedia talk:Vandalism in progress,Macdonald-ross,Auntof6,1,"12:30, 1 June 2018 (UTC)"
5,Wikipedia talk:Vandalism in progress,ImprovedWikiImprovment,Auntof6|BRPever,2,"18:26, 17 January 2019 (UTC)"
5,Wikipedia talk:Vandalism in progress,BRPever,ImprovedWikiImprovment,1,"04:28, 18 January 2019 (UTC)"
5,Wikipedia talk:Vandalism in progress,Ferien,Koala Wiki,1,"16:33, 27 August 2022 (UTC)"
5,Wikipedia talk:Vandalism in progress,Eihel,Barras|CountryANDWestern,2,"11:54, 23 November 2025 (UTC)"
1,Talk:Jesus,つがる,DaneGeld,1,"01:17, 11 March 2021 (UTC)"
1,Talk:Herbivore,NadirAli,Rsk6400,1,"07:12, 12 September 2021 (UTC)"
1,Talk:List of countries by area,Etamni,Yottie,1,"11:19, 6 March 2016 (UTC)"
1,Talk:List of countries by area,Ferien,Sgholla0,1,"00:46, 24 January 2026 (UTC)"
1,Talk:Kimono,Camouflaged Mirage,Eptalon,1,"18:29, 8 November 2020 (UTC)"
1,Talk:Kimono,Camouflaged Mirage,Eptalon,1,"18:38, 8 November 2020 (UTC)"
1,Talk:Kimono,Thegooduser,Camouflaged Mirage|Eptalon,2,"02:01, 10 November 2020 (UTC)"
1,Talk:Kimono,つがる,Darkfrog24,1,"00:07, 30 July 2022 (UTC)"
1,Talk:Kimono,つがる,Darkfrog24,1,"03:35, 1 August 2022 (UTC)"
1,Talk:Kimono,つがる,Macdonald-ross,1,"19:45, 6 August 2022 (UTC)"
1,Talk:Kimono,つがる,Darkfrog24,1,"03:36, 1 August 2022 (UTC)"
1,Talk:Kimono,Darkfrog24,つがる,1,"23:07, 2 August 2022 (UTC)"
1,Talk:Kimono,つがる,Darkfrog24,1,"20:06, 6 August 2022 (UTC)"
1,Talk:Kimono,つがる,Chenzw,1,"20:29, 6 August 2022 (UTC)"
1,Talk:Kimono,つがる,Darkfrog24,1,"01:57, 10 August 2022 (UTC)"
1,Talk:Kimono,つがる,Darkfrog24,1,"03:02, 26 August 2022 (UTC)"
5,Wikipedia talk:Announcements,Bobherry,Ferien,1,"23:01, 18 May 2023 (UTC)"
5,Wikipedia talk:RecentChanges,Ferien,Eptalon|FusionSub,2,"08:23, 21 June 2023 (UTC)"
5,Wikipedia talk:RecentChanges,Fr33kman,FusionSub,1,"17:07, 18 April 2024 (UTC)"
5,Wikipedia talk:Requests for deletion,Computer Fizz,Vermont,1,"06:08, 6 August 2019 (UTC)"
5,Wikipedia talk:Requests for deletion,Computer Fizz,Auntof6,1,"06:08, 6 August 2019 (UTC)"
5,Wikipedia talk:Requests for deletion,Ferien,Fr33kman|Lee Vilenski,2,"22:59, 19 October 2025 (UTC)"
5,Wikipedia talk:Requests for deletion,Ferien,BallahSteiglatz34,1,"13:58, 26 January 2026 (UTC)"
1,Talk:Taiwan,Naddruf,jackchango,1,"17:30, 19 May 2020 (UTC)"
1,Talk:Taiwan,jackchango,Naddruf,1,"00:28, 1 June 2020 (UTC)"
1,Talk:Taiwan,Naddruf,Jackchango,1,"23:31, 10 September 2020 (UTC)"
1,Talk:Taiwan,jackchango,Naddruf,1,"16:24, 11 September 2020 (UTC)"
1,Talk:Joseph Stalin,Hulged,SHB2000,1,"05:55, 5 August 2021 (UTC)"
1,Talk:Homosexuality,ImprovedWikiImprovment,BobEret,1,"03:20, 31 January 2021 (UTC)"
1,Talk:Homosexuality,BobEret,IWI,1,"03:49, 31 January 2021 (UTC)"
1,Talk:Homosexuality,ImprovedWikiImprovment,BobEret,1,"03:57, 31 January 2021 (UTC)"
1,Talk:India,Hulged,Kautilya3,1,"10:59, 27 June 2021 (UTC)"
3,User talk:Koavf,Koavf,Dastan47,1,"18:24, 20 January 2017 (UTC)"
3,User talk:Koavf,Koavf,Auntof6,1,"20:48, 6 April 2017 (UTC)"
3,User talk:Koavf,Koavf,Auntof6,1,"02:21, 7 April 2017 (UTC)"
3,User talk:Koavf,Koavf,Auntof6,1,"05:01, 7 April 2017 (UTC)"
3,User talk:Koavf,Auntof6,StevenJ81,1,"23:09, 8 May 2017 (UTC)"
3,User talk:Koavf,Koavf,Neptune23456,1,"16:34, 18 October 2018 (UTC)"
3,User talk:Koavf,Koavf,LadyLauren600,1,"04:21, 3 March 2021 (UTC)"
5,Wikipedia talk:Bots,PieWriter,Ferien,1,"08:56, 2 January 2026 (UTC)"
5,Wikipedia talk:Bots,Ferien,PieWriter,1,"16:36, 11 January 2026 (UTC)"
5,Wikipedia talk:Bots,Asteralee,BattyBot,1,"20:01, 20 December 2025 (UTC)"
5,Wikipedia talk:Bots,Ferien,Asteralee,1,"18:01, 18 January 2026 (UTC)"
5,Wikipedia talk:Bots,Ferien,Asteralee,1,"08:46, 22 February 2026 (UTC)"
5,Wikipedia talk:Bots,Canadachick,Asteralee,1,"16:15, 22 February 2026 (UTC)"
1,Talk:Gender identity,Mathglot,Flyer22 Reborn,1,"08:56, 29 September 2016 (UTC)"
1,Talk:Hamas,NorthernWinds,NorthernWinds,1,"19:14, 7 July 2025 (UTC)"
3,User talk:M7/Older talk 1,Arjunpattil,M7,1,"07:15, 4 November 2025 (UTC)"
5,Wikipedia talk:Basic English combined wordlist,Baangla,Auntof6|Fehufanga|Flapjack06|Jolly1253|Kk.urban|PotsdamLamb|X58075398,7,"03:51, 11 January 2026 (UTC)"
5,Wikipedia talk:Basic English combined wordlist,Baangla,Auntof6,1,"12:10, 11 January 2026 (UTC)"
5,Wikipedia talk:Basic English combined wordlist,Baangla,Auntof6,1,"12:31, 11 January 2026 (UTC)"
5,Wikipedia talk:Basic English combined wordlist,Baangla,Auntof6,1,"13:36, 11 January 2026 (UTC)"
1,Talk:Star,Jim.henderson,Macdonald-ross|Zedshort,2,"16:43, 26 December 2016 (UTC)"
1,Talk:Star,Chenzw,Jim.henderson|Tbennert,2,"11:48, 27 December 2016 (UTC)"
1,Talk:Star,Auntof6,Zedshort,1,"18:00, 27 December 2016 (UTC)"
1,Talk:Jew,Rsk6400,Djsasso,1,"15:36, 24 June 2020 (UTC)"
1,Talk:Jew,ImprovedWikiImprovment,Rsk6400,1,"15:37, 24 June 2020 (UTC)"
1,Talk:Adolf Hitler,Auntof6,Macdonald-ross,1,"08:37, 19 September 2019 (UTC)"
1,Talk:Tropical rainforest,Lights and freedom,Macdonald-ross,1,"20:45, 8 March 2023 (UTC)"
1,Talk:Liberia,Camouflaged Mirage,DoSazunielle,1,"18:14, 10 January 2021 (UTC)"
1,Talk:Liberia,Rsk6400,Eptalon,1,"17:21, 11 January 2021 (UTC)"
1,Talk:Liberia,Camouflaged Mirage,Eptalon,1,"18:36, 11 January 2021 (UTC)"
1,Talk:Liberia,Rsk6400,Camouflaged Mirage|Eptalon,2,"19:04, 11 January 2021 (UTC)"
1,Talk:Liberia,Rsk6400,Camouflaged Mirage,1,"17:17, 11 January 2021 (UTC)"
3,User talk:LoopZilla,Airport Historian,LoopZilla,1,"10:00, 14 January 2018 (UTC)"
1,Talk:Fascism,ImprovedWikiImprovment,Eptalon,1,"17:43, 3 October 2020 (UTC)"
1,Talk:Fascism,Dream Indigo,Aaronbrewer,1,"15:16, 24 October 2024 (UTC)"
1,Talk:Fascism,ImprovedWikiImprovment,Darkfrog24|Djsasso|Eptalon,3,"14:12, 11 October 2020 (UTC)"
1,Talk:Fascism,ImprovedWikiImprovment,Eptalon,1,"15:28, 11 October 2020 (UTC)"
1,Talk:Fascism,ImprovedWikiImprovment,Time-plated priparadise lost,1,"21:38, 4 October 2020 (UTC)"
1,Talk:Fascism,Darkfrog24,Eptalon,1,"13:55, 11 October 2020 (UTC)"
1,Talk:Fascism,ImprovedWikiImprovment,Eptalon,1,"17:44, 12 October 2020 (UTC)"
1,Talk:Fascism,Helper201,Darkfrog24|Djsasso|Eptalon|ImprovedWikiImprovment,4,"15:43, 11 July 2024 (UTC)"
1,Talk:Fascism,Helper201,SHB2000,1,"15:46, 11 July 2024 (UTC)"
1,Talk:Fascism,Dream Indigo,Steven1991,1,"16:16, 5 February 2025 (UTC)"
5,Wikipedia talk:Deletion policy,Auntof6,つがる,1,"03:30, 15 December 2020 (UTC)"
5,Wikipedia talk:Deletion policy,つがる,Auntof6,1,"03:34, 15 December 2020 (UTC)"
5,Wikipedia talk:Deletion policy,Auntof6,Fnafpuppetmaster,1,"23:05, 14 December 2020 (UTC)"
5,Wikipedia talk:Deletion policy,Fnafpuppetmaster,Auntof6,1,"23:18, 14 December 2020 (UTC)"
5,Wikipedia talk:Deletion policy,Auntof6,Fnafpuppetmaster,1,"00:07, 15 December 2020 (UTC)"
5,Wikipedia talk:Deletion policy,Auntof6,ImprovedWikiImprovment,1,"03:32, 15 December 2020 (UTC)"
5,Wikipedia talk:Deletion policy,Fnafpuppetmaster,Darkfrog24,1,"17:32, 17 December 2020 (UTC)"
5,Wikipedia talk:Deletion policy,ImprovedWikiImprovment,Djsasso,1,"12:20, 12 January 2021 (UTC)"
5,Wikipedia talk:Deletion policy,ImprovedWikiImprovment,Djsasso,1,"12:27, 12 January 2021 (UTC)"
5,Wikipedia talk:Deletion policy,ImprovedWikiImprovment,Camouflaged Mirage,1,"16:54, 13 January 2021 (UTC)"
5,Wikipedia talk:Deletion policy,Ferien,Derpdart56,1,"18:22, 8 May 2022 (UTC)"
5,Wikipedia talk:Deletion policy,Fehufanga,ImprovedWikiImprovment,1,"01:02, 9 February 2023 (UTC)"
5,Wikipedia talk:Deletion policy,Ferien,Angerxiety,1,"17:41, 15 March 2023 (UTC)"
5,Wikipedia talk:Deletion policy,ImprovedWikiImprovment,Auntof6,1,"04:36, 16 March 2023 (UTC)"
5,Wikipedia talk:Deletion policy,ImprovedWikiImprovment,Eptalon,1,"11:29, 16 March 2023 (UTC)"
5,Wikipedia talk:Deletion policy,ImprovedWikiImprovment,Auntof6|Eptalon|Vermont,3,"14:39, 18 March 2023 (UTC)"
5,Wikipedia talk:Deletion policy,Ferien,Fr33kman,1,"22:41, 6 November 2023 (UTC)"
5,Wikipedia talk:Deletion policy,Ferien,Fr33kman,1,"21:42, 29 November 2023 (UTC)"
5,Wikipedia talk:Deletion policy,Ferien,QuicoleJR,1,"21:12, 11 March 2024 (UTC)"
5,Wikipedia talk:Deletion policy,Kk.urban,PotsdamLamb,1,"21:37, 11 March 2024 (UTC)"
5,Wikipedia talk:Deletion policy,Ferien,Fr33kman,1,"10:11, 28 May 2025 (UTC)"
5,Wikipedia talk:Deletion policy,Ferien,Auntof6|MathXplore,2,"20:50, 12 September 2025 (UTC)"
1,Talk:Masturbation,Thegooduser,Eptalon,1,"02:24, 26 October 2020 (UTC)"
1,Talk:Oxygen,ImprovedWikiImprovment,GrounderUK,1,"21:47, 13 June 2020 (UTC)"
1,Talk:Oxygen,ImprovedWikiImprovment,GrounderUK,1,"14:41, 16 June 2020 (UTC)"
1,Talk:Oxygen,GrounderUK,ImprovedWikiImprovment,1,"17:03, 16 June 2020 (UTC)"
1,Talk:Oxygen,ImprovedWikiImprovment,Legerrich,1,"05:20, 30 June 2020 (UTC)"
1,Talk:Oxygen,ImprovedWikiImprovment,Legerrich,1,"05:32, 30 June 2020 (UTC)"
1,Talk:Oxygen,ImprovedWikiImprovment,Macdonald-ross,1,"14:13, 30 June 2020 (UTC)"
1,Talk:Global warming,Chidgk1,Yottie,1,"09:40, 29 May 2021 (UTC)"
1,Talk:Global warming,Lights and freedom,Chidgk1,1,"17:51, 6 August 2022 (UTC)"
1,Talk:Global warming,Chidgk1,Lights and freedom,1,"19:00, 6 August 2022 (UTC)"
1,Talk:Suicide,Ashleyv12,Eptalon,1,"05:59, 19 April 2015 (UTC)"
1,Talk:Bangladesh,73.162.130.139,Ahammed Saad|BangladeshiEditorInSylhet|Cerium4B|I exist guys|Kırmızı süleyman|Rajibtubu|Schazjmd|Swoonfed,8,"03:38, 5 June 2025 (UTC)"
1,Talk:Indian independence movement,PrimordialTaco,Inder Tejus,1,"16:18, 20 February 2019 (UTC)"
1,Talk:Amino acid,Rubbish computer,Palyne,1,"12:52, 25 March 2016 (UTC)"
1,Talk:Man,KonstantinaG07,Web domain source,1,"16:22, 26 March 2024 (UTC)"
5,Wikipedia talk:Basic English ordered wordlist,Operator873,Kindnesstheorist,1,"06:18, 20 February 2019 (UTC)"
1,Talk:Jerusalem,Richard Nevell,BZPN,1,"18:43, 12 September 2025 (UTC)"
1,Talk:London Underground,ImprovedWikiImprovment,Macdonald-ross,1,"14:06, 27 September 2020 (UTC)"
1,Talk:French Revolution,Cadillacs zoom in America,Angerxiety|DovahFRD|Fehufanga,3,"01:22, 21 July 2023 (UTC)"
1,Talk:List of countries,Auntof6,RobertIbarra3,1,"04:39, 19 May 2017 (UTC)"
1,Talk:List of countries,Auntof6,Girafft91,1,"18:34, 16 July 2017 (UTC)"
1,Talk:List of countries,Auntof6,Syced,1,"08:10, 4 September 2017 (UTC)"
1,Talk:List of countries,NeopunkLM,Physixfan,1,"19:42, 2 August 2018 (UTC)"
1,Talk:January 29,Auntof6,Mortedik,1,"06:27, 26 January 2017 (UTC)"
