beta,kind,R_part,R_part_sd,R_any,R_all,proj_ok,wall_s
-1.0,real,0.002267961246059706,0.00018465780597700475,0.005757183798726825,0.00010144817266478988,True,318.532732963562
-1.0,fill,0.002230488603584517,0.00017871828278533152,0.006543407136878947,0.0,True,319.6333382129669
-1.0,real,0.002384760632324174,0.000227563497080145,0.006264424662050775,0.0,True,316.4416182041168
-1.0,fill,0.0022812381787133355,0.0001960041948461005,0.005833269928225418,0.0,True,341.0445430278778
-0.5,real,0.003452873666698687,0.00025566835828970294,0.007633974993025438,0.00030434451799436963,True,343.18995094299316
-0.5,fill,0.0033466112483108716,0.00024107637849947244,0.008014405640518401,0.00015217225899718482,True,343.34556221961975
-0.5,real,0.0032674746052111492,0.0002614168205646367,0.007380354561363463,0.0,True,304.59615421295166
-0.5,fill,0.0034982802402344646,0.00024265164161442395,0.008293388115346573,0.0003297065611605671,True,304.7201988697052
0.0,real,0.005546729317537753,0.000302899254394848,0.011057850820462097,0.00045651677699155445,True,305.3771526813507
0.0,fill,0.005784161487851388,0.00038208335106005274,0.012072332547109994,0.0005833269928225417,True,307.86731910705566
0.0,real,0.0054433564518154435,0.00038382736614707815,0.012452763194602957,0.0009130335539831089,True,308.78445625305176
0.0,fill,0.00568880057737526,0.0004833343567478114,0.013061452230591696,0.0006086890359887393,True,310.9359691143036
0.5,real,0.00953640180482012,0.00043519254882705356,0.017956326561667808,0.002688376575616932,True,301.22091007232666
0.5,fill,0.010055707618892296,0.0005479546637087248,0.018083136777498794,0.004032564863425398,True,301.89293694496155
0.5,real,0.009398573896982008,0.0004777472673284816,0.01734763752567907,0.003246341525273276,True,302.8204731941223
0.5,fill,0.00978226797197007,0.0004037034529741502,0.01823530903649598,0.0030688072231098936,True,303.4417803287506
1.0,real,0.016397128989765954,0.0005813308333065327,0.02574247381369043,0.007887595424687413,True,305.5580883026123
1.0,fill,0.01679302065777983,0.0006157750213979481,0.027416368662659465,0.008065129726850796,True,307.40904211997986
1.0,real,0.01597799802103126,0.0005996933878290813,0.025767835856856627,0.007735423165690228,True,300.8334038257599
1.0,fill,0.016782425859110488,0.0005613947001561563,0.027289558446828475,0.009181059626163484,True,300.3425180912018
2.0,real,0.04118359059365161,0.0007309192038569277,0.054629840979989346,0.028405488346141164,True,301.3947720527649
2.0,fill,0.041787987714676664,0.0012013133974333047,0.05582185700880063,0.030409089756270765,True,295.99064016342163
2.0,real,0.041234315511757956,0.0008571538105203426,0.05262623956985975,0.029876486849780618,True,296.92802691459656
2.0,fill,0.04137103760621897,0.0009655269215167896,0.056227649699459786,0.02957214233178625,True,297.901967048645
3.0,real,0.07671159379048972,0.001917819230162667,0.09396636993076163,0.06634710492277258,True,284.5114119052887
3.0,fill,0.07416993037955169,0.002779034670735277,0.09214030282279541,0.06454639985797256,True,283.80346274375916
3.0,real,0.07857351663242293,0.002036805252289473,0.09564026477973066,0.06857896472139796,True,285.2602870464325
3.0,fill,0.07600974617832995,0.002198093658166777,0.0932055086357757,0.06403915899464861,True,284.23650789260864
5.0,real,0.12813243188233256,0.004270277174462286,0.1584620457024018,0.1123031271399224,True,290.0742301940918
5.0,fill,0.11886285720139378,0.0051927002167334105,0.1493824342489031,0.10408582515407441,True,292.3368058204651
5.0,real,0.1273441581627121,0.00419508839694084,0.1573714778462553,0.11139009358593928,True,346.0445749759674
5.0,fill,0.11777497449510124,0.005762774995393061,0.1503715539323848,0.10286844708209693,True,345.22804522514343
8.0,real,0.15817387009503137,0.006152036536012402,0.2124071115169038,0.1232848918308859,True,350.69575095176697
8.0,fill,0.14479010362686762,0.0072741310931002095,0.19790002282583885,0.11547338253569707,True,335.7589440345764
8.0,real,0.160231807705351,0.006403000111686236,0.21359912754571508,0.1271906464784803,True,337.8765158653259
8.0,fill,0.14682941592386609,0.007561710676323851,0.1986101600344924,0.11953130944228867,True,336.2450659275055
